model,region,variable,unit,year,Historical Reference,SSP1,SSP2,SSP3,SSP4,SSP5,all_equal,all_ssps_equal,hist_ssp2_equal,max_diff
OECD ENV-Growth 2025,Malta,GDP|PPP [per capita],USD_2017/yr,2025,56196.23388345254,56063.82260785732,56196.23388345254,56063.82260785732,56063.82260785732,56063.82260785732,FALSE,FALSE,TRUE,132.41127559522283
OECD ENV-Growth 2025,Mauritania,GDP|PPP [per capita],USD_2017/yr,2025,6139.89277346838,6139.89277346838,6139.89277346838,6139.89277346838,6139.89277346838,6139.89277346838,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Mauritius,GDP|PPP [per capita],USD_2017/yr,2025,24995.03322732418,24995.03322732418,24995.03322732418,24995.03322732418,24995.03322732418,24995.03322732418,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Mayotte,GDP|PPP [per capita],USD_2017/yr,2025,26877.28223739196,26670.92029908178,26877.28223739196,26968.17909007791,27106.97838780787,26853.86388750218,FALSE,FALSE,TRUE,436.0580887260912
OECD ENV-Growth 2025,Mexico,GDP|PPP [per capita],USD_2017/yr,2025,20284.39731522751,20284.39731522751,20284.39731522751,20284.39731522751,20284.39731522751,20284.39731522751,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Micronesia,GDP|PPP [per capita],USD_2017/yr,2025,3086.015223779081,3086.015223779081,3086.015223779081,3086.015223779081,3086.015223779081,3086.015223779081,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Middle East & Africa (R5),GDP|PPP [per capita],USD_2017/yr,2025,7788.220054419206,7788.105576423593,7788.220054419206,7788.197477153431,7788.300242256556,7788.224091817753,FALSE,FALSE,TRUE,0.19466583296252793
OECD ENV-Growth 2025,Middle East & Africa (R9),GDP|PPP [per capita],USD_2017/yr,2025,7788.220054419206,7788.105576423593,7788.220054419206,7788.197477153431,7788.300242256556,7788.224091817753,FALSE,FALSE,TRUE,0.19466583296252793
OECD ENV-Growth 2025,Middle East (R10),GDP|PPP [per capita],USD_2017/yr,2025,21253.63917795393,21253.18408901889,21253.63917795393,21253.45755360485,21253.85918329753,21253.56550015195,FALSE,FALSE,TRUE,0.6750942786384257
OECD ENV-Growth 2025,Moldova,GDP|PPP [per capita],USD_2017/yr,2025,12361.67368821823,12062.08055995934,12361.67368821823,12062.08055995934,12062.08055995934,12062.08055995934,FALSE,FALSE,TRUE,299.5931282588899
OECD ENV-Growth 2025,Mongolia,GDP|PPP [per capita],USD_2017/yr,2025,13348.33443056894,13348.33443056894,13348.33443056894,13348.33443056894,13348.33443056894,13348.33443056894,TRUE,TRUE,TRUE,0
